point,geometry,type,wtd_m,links,length_m,elevation_m
GW_Azraq_Basalt,POINT (313599.2899846932 1170292.832042834),Groundwater supply,35.99616241455078,Transmission Link from GW_Azraq_Basalt to PL_ToKhaw,23879.71724277122,712.0
GW_Azraq_Basalt,POINT (313599.2899846932 1170292.832042834),Groundwater supply,35.99616241455078,Transmission Link from GW_Azraq_Basalt to ZA_Agriculture,18840.66633623001,712.0
GW_Azraq_Kurnub,POINT (304828.7557401649 1136293.260372885),Groundwater supply,1.0113725662231445,Transmission Link from GW_Azraq_Kurnub to ZA_Ind_OilShale,6010.116262925699,547.0
GW_DeadSea_A1A6,POINT (219308.5321007639 1131047.261919215),Groundwater supply,192.7058868408203,Transmission Link from GW_DeadSea_A1A6 to PS_ZaraMain,14241.858186629934,538.0
GW_DeadSea_A1A6,POINT (219308.5321007639 1131047.261919215),Groundwater supply,192.7058868408203,Transmission Link from GW_DeadSea_A1A6 to AM_SZ03,21022.22495009438,538.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PS_Hasa,60865.098845506276,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to TAFILEH_Industry,58542.37691305508,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to KARAK_Industry,24351.410530970636,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PS_Ghwair,11442.696422937432,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to KA_Al Qatrana,13357.643970653915,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_Karak2AmmanbeforeDISI,11679.845895622053,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_Karak2AmmanbeforeDISI 2,11686.722915588518,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_KarakAmman,16332.990089495726,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_KarakAmman 2,17187.367774383256,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_KarakAmman 3,41436.47175855422,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to TA_Qasabat At Tafilah,60157.153134020096,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to TA_Agriculture,59253.92851620511,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_GhwairQasr 3,24884.18693992892,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_GhwairQasr 2,24146.118922418846,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_GhwairQasr,23726.271950692862,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to KA_Q  Al Karak,28013.44012031814,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to KA_Agri HL,26412.847196232367,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PS_Ghwair 2,14675.97520493688,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PS_Al Qasr,21278.391646628526,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_WLibMadaba,25658.105829148928,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to PL_WLibMadaba 2,26487.765569020183,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to MADABA_Industry,26368.473173638457,769.0
GW_DeadSea_A7B2,POINT (239326.7550679956 1083743.601397726),Groundwater supply,52.43187713623047,Transmission Link from GW_DeadSea_A7B2 to MD_Agriculture,31100.273078495207,769.0
GW_DeadSea_Alluvium,POINT (196434.5558157547 1065738.668059641),Groundwater supply,0.8463345170021057,Transmission Link from GW_DeadSea_Alluvium to KA_AlAg Janoub,13408.847408856978,-396.0
GW_DeadSea_Alluvium,POINT (196434.5558157547 1065738.668059641),Groundwater supply,0.8463345170021057,Transmission Link from GW_DeadSea_Alluvium to KA_Ghor Al Mazraa,6469.528993713979,-396.0
GW_DeadSea_Alluvium,POINT (196434.5558157547 1065738.668059641),Groundwater supply,0.8463345170021057,Transmission Link from GW_DeadSea_Alluvium to KARAK_Ind_Potash,11422.918157146258,-396.0
GW_DeadSea_Alluvium,POINT (196434.5558157547 1065738.668059641),Groundwater supply,0.8463345170021057,Transmission Link from GW_DeadSea_Alluvium to KA_AgriJV,10497.486513039103,-396.0
GW_DeadSea_Kurnub,POINT (239098.1778968529 1057249.668497944),Groundwater supply,44.2849006652832,Transmission Link from GW_DeadSea_Kurnub to KA_Ind_OilShale,7777.59258061803,961.0
GW_DeadSea_Ram,POINT (237947.0903345593 1062914.884320749),Groundwater supply,32.21141052246094,Transmission Link from GW_DeadSea_Ram to PL_Karak2AmmanbeforeDISI,20804.692338319157,836.0
GW_DeadSea_Ram,POINT (237947.0903345593 1062914.884320749),Groundwater supply,32.21141052246094,Transmission Link from GW_DeadSea_Ram to PL_KarakAmman,33724.91988012474,836.0
GW_DeadSea_Ram,POINT (237947.0903345593 1062914.884320749),Groundwater supply,32.21141052246094,Transmission Link from GW_DeadSea_Ram to PS_Ghwair,17276.938999950755,836.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to MA_Al Muraygha,30772.388220186247,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to PS_Maan 2,26807.285944266358,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to PS_Maan,24660.8027404567,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to PS_Qa 2,11375.410396602854,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to PS_Qa,11087.605975095232,1174.0
GW_Jafer_A7B2,POINT (212832.5389190134 971446.9879753147),Groundwater supply,49.197383880615234,Transmission Link from GW_Jafer_A7B2 to PS_Qa 3,10314.606758067606,1174.0
