lon,lat,name,type
36.2941,32.05775,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.37522,32.032979999999995,PL_ToKhaw,pipeline
36.35811,32.04166,PL_ToKhaw,pipeline
36.32033,32.059139999999985,PL_ToKhaw,pipeline
36.2941,32.05775,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.2941,32.05775,PL_ToKhaw,pipeline
36.27176,32.06723,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.2941,32.05775,PL_ToKhaw,pipeline
36.27176,32.06723,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.27176,32.06723,PL_ToKhaw,pipeline
36.26461,32.07001,PL_ToKhaw,pipeline
36.25281,32.074839999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.27176,32.06723,PL_ToKhaw,pipeline
36.26461,32.07001,PL_ToKhaw,pipeline
36.25281,32.074839999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.25281,32.074839999999995,PL_ToKhaw,pipeline
36.24947,32.07578999999999,PL_ToKhaw,pipeline
36.23551,32.07969,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.25281,32.074839999999995,PL_ToKhaw,pipeline
36.24947,32.07578999999999,PL_ToKhaw,pipeline
36.23551,32.07969,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.23551,32.07969,PL_ToKhaw,pipeline
36.21816,32.080659999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.23551,32.07969,PL_ToKhaw,pipeline
36.21816,32.080659999999995,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.21816,32.080659999999995,PL_ToKhaw,pipeline
36.202560000000005,32.08278000000001,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.21816,32.080659999999995,PL_ToKhaw,pipeline
36.202560000000005,32.08278000000001,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.202560000000005,32.08278000000001,PL_ToKhaw,pipeline
36.18659,32.08413999999999,PL_ToKhaw,pipeline
36.17728,32.08376,PL_ToKhaw,pipeline
36.11086,32.0549,PL_ToKhaw,pipeline
36.10006,32.05333,PL_ToKhaw,pipeline
36.09697,32.049549999999996,PL_ToKhaw,pipeline
36.08962,32.04702,PL_ToKhaw,pipeline
36.08464,32.04485,PL_ToKhaw,pipeline
36.08212,32.044,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.202560000000005,32.08278000000001,PL_ToKhaw,pipeline
36.18659,32.08413999999999,PL_ToKhaw,pipeline
36.17728,32.08376,PL_ToKhaw,pipeline
36.11086,32.0549,PL_ToKhaw,pipeline
36.10006,32.05333,PL_ToKhaw,pipeline
36.09697,32.049549999999996,PL_ToKhaw,pipeline
36.08962,32.04702,PL_ToKhaw,pipeline
36.08464,32.04485,PL_ToKhaw,pipeline
36.08212,32.044,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.08212,32.044,PL_ToKhaw,pipeline
36.08008,32.04251,PL_ToKhaw,pipeline
36.07585,32.04084,PL_ToKhaw,pipeline
36.07116,32.038900000000005,PL_ToKhaw,pipeline
,,PL_ToKhaw,pipeline
36.08212,32.044,PL_ToKhaw,pipeline
36.08008,32.04251,PL_ToKhaw,pipeline
