point,type,lon,lat
WWTP Wadi Seer,Wastewater plant,35.79877,31.89701
WWTP_Al Baqa,Wastewater plant,35.81577,32.134119999999996
WWTP_Al Jiza,Wastewater plant,36.1978,31.62358
WWTP_Aqaba,Wastewater plant,34.99166,29.429809999999993
WWTP_Fuhais,Wastewater plant,35.77535,31.952820000000003
WWTP_Irbid Central,Wastewater plant,35.80294,32.59076999999999
WWTP_Karak,Wastewater plant,35.6138599810048,31.22767988713444
WWTP_Kufranja,Wastewater plant,35.70915,32.31883
WWTP_Madaba,Wastewater plant,35.73568,31.635379999999998
WWTP_Mafraq,Wastewater plant,36.23013,32.41054999999999
WWTP_Salt,Wastewater plant,35.72345,31.992229999999996
WWTP_Samra,Wastewater plant,36.06757,32.103920000000016
WWTP_Tafileh,Wastewater plant,35.53605998107148,30.866159885449495
WWTP_Wadi Arab,Wastewater plant,35.671879980415376,32.60780989372612
WWTP_Wadi Hassan,Wastewater plant,35.93742,32.52529
WWTP_Wadi Musa,Wastewater plant,35.46864998123311,30.363969883133763
WWTP_Wadi Sh,Wastewater plant,35.89436,32.67853
Aqaba Desal,Desalination,35.031889981049645,29.51520987934545
RedDead,Desalination,34.99770998097,29.56614987957823
