point,geometry,type,links,length_m,elevation_m
MA_QMaan,POINT (221369.2389521297 941578.0360503674),Demand site,Transmission Link from PS_Maan2MA_Maan to MA_QMaan,6963.068833968283,1107.0
MA_Wadi Musa,POINT (194962.4771645851 970775.3046928244),Demand site,Transmission Link from PS_Qa2MA_WMusa to MA_Wadi Musa,10326.394729525433,1054.0
MD_Agriculture,POINT (225945.2755366201 1111817.842101765),Demand site,Transmission Link from GW_DeadSea_A7B2 to MD_Agriculture,31100.273078495207,636.0
MD_Agriculture,POINT (225945.2755366201 1111817.842101765),Demand site,Transmission Link from WWTP_Madaba to MD_Agriculture,7394.430370236985,636.0
MD_Arid,POINT (212455.6757153366 1104748.646431395),Demand site,Transmission Link from PL_WLibMadaba2MD_Arid to MD_Arid,11295.019663975021,775.0
MD_Qasabat Madaba,POINT (220119.2676215926 1119870.328578918),Demand site,Transmission Link from PL_WLibMadaba2MD_QMadaba to MD_Qasabat Madaba,5271.96737668036,772.0
MD_Theeban,POINT (218654.1862410142 1099393.764227149),Demand site,Transmission Link from PL_WLibMadaba2MD_Theeban to MD_Theeban,8358.752050154219,802.0
MF_Agri,POINT (277525.6817990311 1197777.327485857),Demand site,Transmission Link from GW_AmmanZarqa_A7B2 to MF_Agri,49585.96372061388,696.0
MF_Agri,POINT (277525.6817990311 1197777.327485857),Demand site,Transmission Link from GW_AmmanZarqa_Basalt to MF_Agri,12181.01699378902,696.0
MF_Agri,POINT (277525.6817990311 1197777.327485857),Demand site,Transmission Link from WWTP_Mafraq to MF_Agri,12496.97038350677,696.0
MF_RC_MAF,POINT (287054.2460362938 1182063.521326337),Demand site,Transmission Link from GW_AmmanZarqa_Basalt to MF_RC_MAF,9820.91014996414,712.0
MF_RC_Zatari,POINT (275366.3373673307 1187809.707515922),Demand site,Transmission Link from GW_AmmanZarqa_Basalt to MF_RC_Zatari,13400.829783774348,653.0
MF_ROU_Mafraq,POINT (261126.2486690944 1189395.201946793),Demand site,Transmission Link from PS_QunayyaWell2MF_ROU to MF_ROU_Mafraq,13885.693573083397,758.0
MF_ROU_Mafraq,POINT (261126.2486690944 1189395.201946793),Demand site,Transmission Link from PS_Mafraq2MF_ROU to MF_ROU_Mafraq,4167.048276346367,758.0
MF_ROU_Mafraq,POINT (261126.2486690944 1189395.201946793),Demand site,Transmission Link from MF_ROU_Mafraq Withdrawal to MF_ROU_Mafraq,3766.3161003387886,758.0
MF_ROU_Mafraq,POINT (261126.2486690944 1189395.201946793),Demand site,Transmission Link from PL_AqebIrbidZatari2MF_ROU to MF_ROU_Mafraq,10778.227178460143,758.0
MF_ROU_Mafraq,POINT (261126.2486690944 1189395.201946793),Demand site,Transmission Link from PL_AqebIrbidUmLulu2MF_ROU to MF_ROU_Mafraq,11130.41178021012,758.0
MF_ROU_Mafraq,POINT (261126.2486690944 1189395.201946793),Demand site,Transmission Link from PL_AqebIrbidBwaidah2ROUMF to MF_ROU_Mafraq,12553.014267714454,758.0
MF_ROU_NB,POINT (299621.3011425871 1191623.694238669),Demand site,Transmission Link from PS_NorthBadia2ROU_NB to MF_ROU_NB,3574.955245521275,910.0
MF_Rweyshid,POINT (445142.7428329747 1211448.928018958),Demand site,Transmission Link from GW_Sarhan_B4B5 to MF_Rweyshid,23085.95958421361,676.0
